Facility Name,indicator_number,site_id,Indicator Name,newly_reg_in_quarter,cumulative_ever_reg,reporting_period
Sister Martha Hospital Mangochi,35,1006,Pregnant Females (all ages),0.0,125.0,Q1 2025
Sister Martha Hospital Mangochi,333435,1006,Without gender (all ages),0.0,0.0,Q1 2025
Sister Martha Hospital Mangochi,36,1006,Children below 24m at ART initiation,0.0,27.0,Q1 2025
Sister Martha Hospital Mangochi,37,1006,Children 24m - 14 yrs at ART initiation,0.0,52.0,Q1 2025
Sister Martha Hospital Mangochi,38,1006,Adults 15 years+ at ART initiation,4.0,661.0,Q1 2025
Sister Martha Hospital Mangochi,39,1006,Pres.Sev.HIV disease age < 12m,0.0,4.0,Q1 2025
Sister Martha Hospital Mangochi,40,1006,PCR Infants < 12 mths PCR,0.0,10.0,Q1 2025
Sister Martha Hospital Mangochi,41,1006,U5 Children 12 - 59 mths,0.0,9.0,Q1 2025
Sister Martha Hospital Mangochi,42,1006,Pregnant women,0.0,110.0,Q1 2025
Sister Martha Hospital Mangochi,43,1006,Breastfeeding mothers,0.0,48.0,Q1 2025
Sister Martha Hospital Mangochi,44,1006,CD4 below threshold,0.0,22.0,Q1 2025
Sister Martha Hospital Mangochi,45,1006,Asymptomatic / mild,3.0,283.0,Q1 2025
Sister Martha Hospital Mangochi,46,1006,WHO Stage 3,1.0,225.0,Q1 2025
Sister Martha Hospital Mangochi,47,1006,WHO Stage 4,0.0,29.0,Q1 2025
Sister Martha Hospital Mangochi,48,1006,Unknown / reason outside guidelines,0.0,0.0,Q1 2025
Sister Martha Hospital Mangochi,49,1006,Never TB / TB over 2 years ago,4.0,739.0,Q1 2025
Sister Martha Hospital Mangochi,50,1006,TB within the last 2 years,0.0,0.0,Q1 2025
Sister Martha Hospital Mangochi,51,1006,Current episode of TB,0.0,1.0,Q1 2025
Sister Martha Hospital Mangochi,52,1006,Kaposis Sarcoma,0.0,2.0,Q1 2025
Sister Martha Hospital Mangochi,53,1006,Total alive and on ART,,431.0,Q1 2025
Sister Martha Hospital Mangochi,54,1006,M1 Died within the 1st month after ART initiation,,8.0,Q1 2025
Sister Martha Hospital Mangochi,55,1006,M2 Died within the 2nd month after ART initiation,,8.0,Q1 2025
Sister Martha Hospital Mangochi,56,1006,M3 Died within the 3rd month after ART initiation,,6.0,Q1 2025
Sister Martha Hospital Mangochi,57,1006,M4+ Died after the end of the 3rd month after ART initiation,,75.0,Q1 2025
Sister Martha Hospital Mangochi,58,1006,Died total,,97.0,Q1 2025
Sister Martha Hospital Mangochi,59,1006,Defaulted (more than 2 months overdue after expected to have run out of ARVs),,13.0,Q1 2025
Sister Martha Hospital Mangochi,60,1006,"Stopped taking ARVs (clinician or patient own decision, last known alive)",,40.0,Q1 2025
Sister Martha Hospital Mangochi,61,1006,Transferred Out,,159.0,Q1 2025
Sister Martha Hospital Mangochi,64,1006,Regimen 0P,,0.0,Q1 2025
Sister Martha Hospital Mangochi,64,1006,Regimen 0A,,0.0,Q1 2025
Sister Martha Hospital Mangochi,65,1006,Regimen 2P,,0.0,Q1 2025
Sister Martha Hospital Mangochi,65,1006,Regimen 2A,,0.0,Q1 2025
Sister Martha Hospital Mangochi,66,1006,Regimen 4PP,,0.0,Q1 2025
Sister Martha Hospital Mangochi,66,1006,Regimen 4PA,,0.0,Q1 2025
Sister Martha Hospital Mangochi,66,1006,Regimen 4A,,0.0,Q1 2025
Sister Martha Hospital Mangochi,67,1006,Regimen 5A,,0.0,Q1 2025
Sister Martha Hospital Mangochi,68,1006,Regimen 6A,,0.0,Q1 2025
Sister Martha Hospital Mangochi,69,1006,Regimen 7A,,0.0,Q1 2025
Sister Martha Hospital Mangochi,70,1006,Regimen 8A,,1.0,Q1 2025
Sister Martha Hospital Mangochi,71,1006,Regimen 9PP,,0.0,Q1 2025
Sister Martha Hospital Mangochi,71,1006,Regimen 9PA,,0.0,Q1 2025
Sister Martha Hospital Mangochi,71,1006,Regimen 9A,,0.0,Q1 2025
